,Removed_privileges,Shook_child,Called_dumb_lazy,Beat_hard,Learning_skill,Child's_weight,Sex,Weight_age_P,Wealth_index,Mother's_education
269,NO,NO,NO,NO,HAVE DIFFICULTY,10.6,MALE,1.4,Poorest,Secondary
270,YES,YES,NO,YES,HAVE DIFFICULTY,12.2,FEMALE,2.7,Poorest,Primary
274,YES,YES,NO,NO,NO DIFFICULTY,20.3,MALE,88.6,Poorest,Secondary
276,NO,YES,YES,NO,NO DIFFICULTY,14.3,FEMALE,55.2,Poorest,Secondary
278,YES,YES,YES,NO,NO DIFFICULTY,16.5,MALE,28.8,Fourth,Secondary
279,YES,YES,NO,YES,NO DIFFICULTY,12.1,MALE,0.2,Second,Secondary
280,NO,YES,NO,YES,NO DIFFICULTY,12.8,FEMALE,36.0,Second,Secondary
283,YES,YES,YES,NO,NO DIFFICULTY,13.7,FEMALE,28.8,Poorest,Secondary
285,YES,YES,NO,YES,HAVE DIFFICULTY,11.3,MALE,2.4,Poorest,Primary
287,YES,YES,NO,YES,NO DIFFICULTY,15.2,MALE,10.6,Poorest,Primary
289,NO,YES,YES,NO,HAVE DIFFICULTY,14.3,FEMALE,29.2,Poorest,Secondary
295,NO,NO,NO,NO,HAVE DIFFICULTY,10.6,FEMALE,6.5,Poorest,Primary
296,YES,YES,YES,NO,NO DIFFICULTY,12.3,MALE,48.1,Fourth,Secondary
297,YES,YES,YES,NO,NO DIFFICULTY,14.0,FEMALE,9.5,Fourth,Secondary
300,NO,YES,YES,NO,HAVE DIFFICULTY,12.0,FEMALE,0.5,Poorest,Primary
301,NO,NO,NO,NO,HAVE DIFFICULTY,9.3,FEMALE,1.2,Middle,Primary
302,YES,YES,YES,NO,NO DIFFICULTY,12.0,MALE,16.2,Fourth,Higher secondary+
303,YES,YES,YES,NO,NO DIFFICULTY,12.5,MALE,5.1,Poorest,Secondary
304,YES,NO,NO,YES,NO DIFFICULTY,11.4,MALE,11.5,Poorest,Primary
305,YES,YES,YES,NO,NO DIFFICULTY,11.1,MALE,8.9,Poorest,Secondary
